course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,22k
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,22k
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22k
Farmacología para odontólogos,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,22k
How to Play Guitar,Berklee College of Music,SPECIALIZATION,4.8,Beginner,230k
Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,230k
IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,230k
Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,230k
Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,230k
Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,230k
Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,230k
Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,230k
Using Databases with Python,University of Michigan,COURSE,4.8,Mixed,230k
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23k
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,23k
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,23k
The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,23k
Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner,23k
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,23k
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23k
Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,23k
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23k
Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23k
Digital Transformation in Financial Services,Copenhagen Business School,SPECIALIZATION,4.4,Beginner,23k
Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,23k
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,23k
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,23k
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,23k
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.7,Intermediate,23k
Social Psychology,Wesleyan University,COURSE,4.7,Beginner,240k
Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,240k
English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,240k
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,240k
Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed,240k
